t,lsm0_x,lsm0_y,lsm0_z,lsm1_x,lsm1_y,lsm1_z,i3g0_x,i3g0_y,i3g0_z,i3g1_x,i3g1_y,i3g1_z,fused_x,fused_y,fused_z
0.00112700462341309,-0.004,-0.008,-0.004,0.006,-0.002,0.001,-0.005,0.001,-0.016,0.003,-0.004,-0.003,0,-0.003,-0.006
0.787587881088257,-0.004,-0.007,-0,0.004,-0.003,0.007,-0.008,0.002,-0.015,0.008,-0.001,-0.008,0,-0.002,-0.004
1.55474710464478,-0.007,-0.006,-0.004,0.003,-0.004,0.005,-0.008,-0.001,-0.015,0.007,-0.005,-0.006,-0.001,-0.004,-0.005
2.35742592811584,-0.011,-0.007,-0.004,0.005,-0.007,0.004,-0.008,-0.003,-0.014,0.005,-0.004,-0.007,-0.003,-0.005,-0.005
3.12967085838318,-0.003,-0.024,-0.41,0.005,-0.026,-0.209,-0.011,-0.005,-0.196,0.006,-0.005,-0.189,-0.001,-0.015,-0.251
3.89072394371033,-0.009,-0.008,-0.315,0.011,0.021,-0.341,-0.013,-0.027,-0.21,-0.003,-0.028,-0.211,-0.004,-0.01,-0.269
4.68240404129028,-0.029,-0.004,-0.339,0.007,0.01,-0.512,-0.009,0.012,-0.24,0.007,0.007,-0.247,-0.006,0.006,-0.334
5.45714998245239,-0.001,-0.036,-0.511,-0.009,-0.033,-0.356,-0.009,-0.007,-0.305,0.007,-0.004,-0.294,-0.003,-0.02,-0.367
6.21212387084961,-0.005,-0.004,-0.491,0.006,-0.005,-0.403,-0.016,-0.005,-0.317,0.006,-0.011,-0.279,-0.002,-0.006,-0.372
6.98215293884277,-0.005,-0.066,-0.648,0.001,0.005,-0.51,-0.009,-0.002,-0.342,0.005,-0.003,-0.334,-0.002,-0.016,-0.459
7.78523087501526,-0.011,-0.042,-0.796,-0.008,-0.036,-0.545,-0.012,-0.03,-0.452,0.008,-0.005,-0.492,-0.006,-0.028,-0.571
8.55006694793701,-0.008,-0.003,-0.416,-0.003,0.044,-0.271,-0.017,0.022,-0.184,0.005,0.024,-0.183,-0.006,0.022,-0.264
9.30862402915955,-0.012,0.04,-0.286,0.009,-0.019,-0.388,-0.009,0.009,-0.301,0.005,0.015,-0.279,-0.001,0.011,-0.313
10.1114799976349,-0.011,0.024,-0.217,0.006,0.069,-0.325,-0.011,0.013,-0.215,0.003,0.022,-0.196,-0.003,0.032,-0.238
10.8740410804749,-0.016,0.005,-0.705,-0.005,-0.059,-0.651,-0.004,-0.047,-0.384,0.018,-0.043,-0.396,-0.002,-0.036,-0.534
11.6399109363556,-0.004,0.016,-0.662,0.018,0.015,-0.548,-0.009,-0.02,-0.312,0.013,-0.014,-0.312,0.005,-0.001,-0.458
12.4291749000549,-0.202,0.184,-1.155,-0.193,0.2,-1.212,-0.009,0.026,-0.575,0.01,0.021,-0.575,-0.099,0.108,-0.879
13.1976048946381,0.016,-0.029,-0.176,0.014,-0.007,-0.094,-0.014,-0.002,-0.087,0.011,0.004,-0.072,0.007,-0.009,-0.107
13.9685518741608,0.003,0.026,-0.65,0.059,-0.03,-0.49,-0.01,0.004,-0.341,0.002,0.006,-0.327,0.013,0.001,-0.452
14.7323639392853,0.026,-0.003,-0.526,-0.016,0.002,-0.848,-0.025,0.015,-0.374,0.002,0.01,-0.301,-0.003,0.006,-0.512
15.5294198989868,0.039,-0.041,-0.461,0.014,0.013,-0.463,-0.01,-0.007,-0.335,0.006,-0.01,-0.331,0.012,-0.011,-0.397
16.291079044342,-0.006,0.002,-0.26,0.026,0.001,-0.311,-0.01,-0.012,-0.349,0.004,-0.012,-0.29,0.004,-0.005,-0.303
17.0638959407806,-0.013,-0.025,-0.042,0.003,-0.004,0.001,-0.009,-0.001,-0.004,0.006,-0.003,-0.001,-0.003,-0.008,-0.011
17.8543310165405,-0.003,-0.02,-0.006,0.007,-0.01,0.008,-0.007,-0.002,-0.035,0.005,0.009,-0.038,0.001,-0.006,-0.018
18.616758108139,-0.002,0.055,0.001,0.002,0.06,0.009,-0.009,-0.085,-0,-0.002,-0.073,0.002,-0.003,-0.011,0.003
19.3889760971069,-0.009,-0.008,-0,0.003,-0.009,0.008,-0.005,-0,-0.019,0.001,0.001,-0.007,-0.002,-0.004,-0.005
20.1709580421448,-0.005,-0.007,-0.002,0.004,-0.003,0.008,-0.007,-0.001,-0.008,0.001,-0.002,-0.01,-0.002,-0.003,-0.003
20.9398748874664,-0.005,-0.011,0.001,0.01,-0.009,0.007,-0.008,-0.002,-0.014,0.003,0.002,-0.011,0,-0.005,-0.004
21.7051830291748,-0.005,-0.008,-0.002,0.005,-0.007,0.007,-0.009,-0.002,-0.01,0.008,-0.002,-0.009,0,-0.005,-0.004
22.4661779403687,-0.004,-0.009,-0.004,0.009,-0.009,0.006,-0.007,-0.005,-0.02,0.005,-0.002,-0.009,0.001,-0.006,-0.007
23.2686278820038,-0.01,-0.006,0,0.007,-0.003,0.004,-0.006,-0.002,-0.018,0.006,-0.003,-0.006,-0.001,-0.004,-0.005
24.0415630340576,-0.003,-0.007,-0.002,0.007,-0.004,0.006,-0.007,0.001,-0.017,0,-0.005,-0.012,-0.001,-0.004,-0.006
24.8060820102692,-0.007,-0.01,-0.002,0.007,-0.002,0.005,-0.006,-0.002,-0.015,0.005,-0.001,-0.009,-0,-0.004,-0.005
25.5933749675751,-0.007,-0.007,-0.004,0.006,-0.005,0.006,-0.006,0,-0.014,0.006,-0.006,-0.009,-0,-0.004,-0.005
26.3648080825806,-0.006,-0.006,-0.002,0.003,0,0.005,-0.006,-0.004,-0.008,0.009,0.002,-0.013,0,-0.002,-0.004
27.1362690925598,-0.007,-0.005,-0,0.01,-0.007,0.007,-0.007,-0.008,-0.008,0.009,-0,-0.007,0.001,-0.005,-0.002
27.9294369220734,-0.01,-0.008,-0.002,0.006,-0.004,0.004,-0.009,-0.002,-0.015,0.007,-0.004,-0.008,-0.002,-0.005,-0.005
28.680321931839,-0.003,-0.007,-0.002,0.007,-0.006,0.005,-0.004,-0.005,-0.011,0.002,-0.004,-0.013,0,-0.005,-0.005
29.4486749172211,-0.008,-0.007,-0.004,0.006,-0.005,0.007,-0.004,-0.004,-0.017,0.002,-0.001,-0.005,-0.001,-0.004,-0.005
30.2253348827362,-0.006,-0.007,-0.003,0.008,-0.004,0.006,-0.01,-0.005,-0.016,0.005,-0.002,-0.013,-0.001,-0.004,-0.007
31.0142419338226,-0.007,-0.005,-0.003,0.009,-0.007,0.006,-0.005,0,-0.021,0.005,-0.002,-0.01,0.001,-0.004,-0.007
31.7790110111237,-0.007,-0.006,-0.004,0.003,-0.006,0.004,-0.005,-0,-0.016,0.004,0.003,-0.003,-0.001,-0.002,-0.004
32.5550677776337,-0.009,-0.005,-0.004,0.004,-0.003,0.005,-0.008,-0.002,-0.013,0.005,-0,-0.012,-0.002,-0.003,-0.006
33.3487989902496,-0.003,-0.007,-0.002,0.005,-0.007,0.005,-0.009,-0.001,-0.016,0.004,0.001,-0.01,-0.001,-0.003,-0.006
34.1102149486542,-0.006,-0.006,-0.001,0.007,-0.007,0.007,-0.003,0,-0.011,0.007,-0.004,-0.009,0.001,-0.004,-0.004
34.8806440830231,-0.009,-0.005,-0.005,0.004,-0,0.004,-0.004,0.001,-0.016,0.002,0.001,-0.008,-0.002,-0.001,-0.006
35.6727380752563,-0.006,-0.007,-0,0.011,-0.001,0.004,-0.013,0,-0.018,0.009,0.003,-0.009,0,-0.001,-0.006
36.4400839805603,-0.003,-0.01,-0.001,0.007,-0.007,0.004,-0.007,-0.002,-0.014,0.004,-0,-0.01,0,-0.005,-0.005
37.1976101398468,-0.002,-0.01,0.001,0.009,-0.003,0.006,-0.007,0.002,-0.014,0.003,-0.003,-0.007,0.001,-0.004,-0.003
37.9724888801575,-0.006,-0.004,-0.001,0.012,-0.005,0.005,-0.009,0,-0.009,0.008,-0,-0.003,0.001,-0.002,-0.002
38.760715007782,-0.005,-0.002,-0.002,0.006,-0.002,0.007,-0.007,-0.004,-0.015,0.003,-0.005,-0.006,-0.001,-0.003,-0.004
39.5286319255829,-0.004,-0.007,-0.002,0.004,-0.006,0.005,-0.005,0.002,-0.015,0.006,-0.002,-0.007,0,-0.003,-0.005
40.3027019500732,-0.005,-0.007,-0.004,0.004,-0.005,0.005,-0.006,-0.003,-0.016,0.005,0.003,-0.008,-0.001,-0.003,-0.006
41.0946521759033,-0.007,-0.005,-0.001,0.003,0,0.005,-0.007,-0.002,-0.017,0.004,0.003,-0.011,-0.002,-0.001,-0.006
41.8510398864746,0.001,-0.018,-0.001,0.006,0.007,0.006,-0.003,0.002,-0.014,0.002,-0.003,-0.012,0.002,-0.003,-0.005
42.6290690898895,-0.018,0.014,-0.003,0.012,-0.026,0.008,-0.011,0.005,-0.012,0.002,0.002,-0.006,-0.003,-0.001,-0.003
43.4144399166107,-0.004,-0.005,0,0.006,0.003,0.007,-0.007,-0.002,-0.014,0.004,0.002,-0.009,-0,-0.001,-0.004
44.1726250648499,-0.006,-0.003,-0.003,0.013,0.002,0.008,-0.004,-0.006,-0.017,0.003,-0.004,-0.007,0.001,-0.003,-0.005
44.9412360191345,-0.002,-0.02,-0.001,0.005,-0.001,0.006,-0.01,0,-0.015,0.008,-0.004,-0.012,0,-0.006,-0.005
45.7193908691406,-0.011,-0.001,0.001,-0.002,0.018,0.007,-0.012,0.009,-0.017,0.002,0.018,-0.011,-0.006,0.011,-0.005
46.5024449825287,-0.007,-0.01,-0.004,0.008,-0,0.008,-0.008,-0.003,-0.016,0.003,0,-0.007,-0.001,-0.003,-0.005
47.2713091373444,-0.002,-0.028,-0.003,0.006,0.001,0.008,-0.006,-0.017,-0.018,0.004,-0.015,-0.011,0.001,-0.015,-0.006
48.0381209850311,-0.011,-0,-0.002,0.009,0.004,0.006,-0.007,0,-0.017,0.003,0.003,-0.005,-0.001,0.002,-0.005
48.8368101119995,-0.01,-0.005,-0.003,0.003,-0.009,0.003,-0.007,-0.001,-0.013,0.005,-0.002,-0.009,-0.002,-0.004,-0.005
49.6113510131836,0.001,0.019,-0.003,0.001,0.003,0.008,-0.006,-0.004,-0.017,0.005,0.001,-0.006,0,0.005,-0.005
50.3778738975525,-0.004,-0.008,0,0.006,-0.007,0.008,-0.007,0.005,-0.017,0.007,0.005,-0.007,0.001,-0.001,-0.004
51.1646389961243,-0.009,-0.007,-0,0.01,-0.008,0.002,-0.006,-0.002,-0.016,0.007,-0.001,-0.007,0,-0.005,-0.005
51.9237489700317,-0.004,-0.009,-0,0.009,-0.004,0.007,-0.003,-0.003,-0.014,0.005,-0.001,-0.011,0.002,-0.004,-0.004
52.6902570724487,-0.003,-0.006,-0.001,0.006,-0.007,0.004,-0.007,0.003,-0.016,0.006,0.005,-0.004,0.001,-0.001,-0.004
53.4526019096375,-0.007,-0.008,0,0.003,-0.002,0.003,-0.003,0.002,-0.013,0,0.002,-0.009,-0.001,-0.001,-0.005
54.2592151165009,-0.003,-0.008,-0.004,0.005,-0.008,0.009,-0.008,0.001,-0.016,0.005,-0.001,-0.006,-0,-0.004,-0.005
55.0188579559326,-0.006,-0.009,-0.001,0.007,-0.006,0.003,-0.008,0.001,-0.008,0.009,-0.005,-0.01,0,-0.005,-0.004
55.7850348949432,0,-0.02,0.002,0.006,-0.011,0.005,-0.013,0.009,-0.018,0.005,0.007,-0.01,-0.001,-0.003,-0.005
56.5873038768768,-0.003,-0.007,-0.001,0.005,-0.004,0.007,-0.013,-0.003,-0.018,0.003,0.003,-0.01,-0.002,-0.003,-0.005
57.3536808490753,-0,-0.013,-0.007,0.004,-0.007,0.004,-0.008,-0.009,-0.025,0.008,-0.006,-0.012,0.001,-0.008,-0.01
