t,lsm0_x,lsm0_y,lsm0_z,lsm1_x,lsm1_y,lsm1_z,i3g0_x,i3g0_y,i3g0_z,i3g1_x,i3g1_y,i3g1_z,fused_x,fused_y,fused_z
0.000195026397705078,-0.541,0.315,0.328,-0.549,0.31,0.343,-0.292,-0.086,0.279,-0.278,-0.017,0.271,-0.415,0.13,0.305
0.732013940811157,0.401,0.066,-0.074,0.411,0.066,-0.062,0.315,0.038,-0.069,0.368,0.029,-0.055,0.374,0.05,-0.065
1.51967406272888,-0.251,0.003,0.104,-0.286,-0.004,0.111,-0.026,-0.025,-0.002,-0.018,-0.025,0.001,-0.145,-0.013,0.053
2.28659200668335,-0.938,-0.009,-0.008,-0.648,0.07,0.053,-0.783,-0.132,0.024,-0.814,-0.133,0.016,-0.796,-0.051,0.021
3.05094981193542,-0.435,0.088,0.105,-0.258,0.095,0.123,-0.027,0.098,0.039,-0.021,0.095,0.04,-0.185,0.094,0.076
3.8444459438324,-0.749,0.322,0.023,-0.796,0.215,-0.063,-0.416,0.225,0.064,-0.384,0.252,0.079,-0.586,0.254,0.026
4.60088205337524,-1.017,0.04,0.124,-0.93,-0.015,0.035,-0.57,-0.032,-0.032,-0.515,0.005,-0.084,-0.758,-0.001,0.011
5.3760039806366,-1.182,-0.069,0.032,-0.993,-0.042,0.03,-0.595,-0.045,-0.021,-0.577,-0.039,-0.01,-0.837,-0.049,0.008
6.13955807685852,-1.269,0.558,-0.42,-1.455,0.648,-0.485,-0.694,0.137,-0.115,-0.657,0.13,-0.122,-1.019,0.368,-0.285
6.93181896209717,-0.872,0.136,0.074,-0.989,0.006,-0.079,-0.39,-0.063,0.064,-0.351,-0.071,0.078,-0.651,0.002,0.034
7.70349812507629,-0.869,0.016,-0.19,-0.681,-0.032,-0.05,-0.409,-0.016,-0.065,-0.385,-0.023,-0.064,-0.586,-0.014,-0.092
8.46477794647217,-0.459,0.033,-0.189,-0.433,0.023,-0.278,-0.261,0.015,-0.19,-0.271,-0.018,-0.14,-0.356,0.013,-0.199
9.2669370174408,0.074,0.108,-0.071,0.109,-0.07,0.031,-0.014,-0.054,-0.03,0.019,-0.047,-0.015,0.047,-0.016,-0.021
10.0259981155396,-0.003,-0.026,0.039,0.143,0.036,0.01,-0.009,-0.003,-0.012,-0.004,0.003,-0.011,0.032,0.003,0.006
10.8013849258423,-0.139,-0.066,0.002,0.09,0.047,0.004,0.038,-0.001,0.003,0.035,0.002,-0.001,0.006,-0.005,0.002
