t,lsm0_x,lsm0_y,lsm0_z,lsm1_x,lsm1_y,lsm1_z,i3g0_x,i3g0_y,i3g0_z,i3g1_x,i3g1_y,i3g1_z,fused_x,fused_y,fused_z
0.000549793243408203,0.014,-0.133,0.075,0.042,-0.222,0.094,0.001,-0.079,0.147,0.022,-0.066,0.192,0.02,-0.125,0.127
0.768142938613892,0.033,-0.046,0.01,0.034,0.011,0.006,-0.026,0.072,-0.039,-0.017,0.073,-0.03,0.006,0.028,-0.013
1.53353881835938,-0.005,-0.002,-0.019,-0.003,0.004,-0.013,-0.059,-0.015,0.024,-0.076,-0.013,0.029,-0.036,-0.006,0.005
2.28994202613831,0.073,1.088,-0.168,0.08,1.034,-0.154,0.083,0.471,-0.062,0.065,0.38,-0.04,0.075,0.743,-0.106
3.08484506607056,-0.054,0.369,0.277,-0.056,0.422,0.397,-0.116,0.46,0.046,-0.108,0.453,0.046,-0.084,0.426,0.191
3.85431790351868,-0.068,0.759,-0.211,-0.099,0.89,-0.05,0.101,0.449,0.046,0.083,0.475,0.042,0.004,0.643,-0.043
4.62034702301025,0.155,1.462,-0.247,-0.08,1.416,-0.327,-0.084,0.71,-0.315,-0.054,0.694,-0.291,-0.016,1.071,-0.295
5.42281699180603,0.025,1.105,-0.339,0.261,1.427,-0.303,-0.053,0.65,-0.036,-0.049,0.657,-0.019,0.046,0.96,-0.174
6.18874478340149,-0.347,0.881,0.251,0.232,0.835,0.154,0.051,0.24,0.079,0.054,0.236,0.084,-0.003,0.548,0.142
6.95630693435669,-0.403,1.35,-0.004,-0.412,1.063,-0.244,-0.223,0.451,-0.21,-0.188,0.413,-0.184,-0.306,0.819,-0.161
7.73575091362,-0.119,1.357,0.238,-0.281,1.561,0.469,-0.09,0.664,0.058,-0.083,0.667,0.063,-0.143,1.062,0.207
8.50532603263855,0.111,0.215,-0.099,0.233,0.383,0.042,-0.005,-0.066,-0.051,0.008,-0.059,-0.041,0.087,0.118,-0.037
9.276447057724,-0.009,-0.071,-0.021,0.021,0.03,0.01,0.001,-0.002,0.011,0.012,-0.005,0.015,0.006,-0.012,0.004
10.0344858169556,0.035,-0.039,-0.062,-0.009,-0.003,0.022,-0.007,-0.018,-0.023,0.004,-0.022,-0.015,0.005,-0.021,-0.019
10.8306879997253,-0.042,-0.029,-0.038,0.064,-0.032,-0.002,0.026,-0.006,0.017,0.038,0.013,0.028,0.022,-0.014,0.001
