t,lsm0_x,lsm0_y,lsm0_z,lsm1_x,lsm1_y,lsm1_z,i3g0_x,i3g0_y,i3g0_z,i3g1_x,i3g1_y,i3g1_z,fused_x,fused_y,fused_z
0.00015711784362793,-0.001,0.044,-0.897,-0.055,-0.022,-1.034,-0.024,0.001,-0.45,0.001,0.047,-0.388,-0.019,0.018,-0.692
0.721369028091431,-0.004,-0.06,0.129,-0.005,-0,0.317,-0.007,-0.053,-0.028,0.006,-0.052,-0.018,-0.002,-0.041,0.1
1.51601505279541,-0.007,-0.013,-0.006,0.008,-0.009,0.004,-0.01,-0,-0.012,0.004,-0.004,-0.007,-0.001,-0.007,-0.005
2.27755904197693,-0.004,-0.013,-0.003,0.007,-0.01,0.003,-0.006,-0.012,-0.014,0.004,-0.005,-0.008,0,-0.01,-0.005
3.04474306106567,-0.012,0.022,0.094,0.012,-0.025,0.571,-0.003,-0.009,0.451,0.008,-0.015,0.471,0.001,-0.007,0.397
3.84158897399902,0.013,0.015,0.353,0.015,-0.008,0.58,-0.009,0.005,0.189,0.006,0.011,0.179,0.006,0.006,0.326
4.6077721118927,-0.029,-0.036,0.264,-0.009,-0.02,0.3,-0.006,-0.001,0.097,-0.005,-0.01,0.111,-0.012,-0.017,0.193
5.36049699783325,-0.009,-0.119,0.153,0.007,-0.019,0.619,-0,-0.002,0.295,0.008,-0.004,0.292,0.002,-0.036,0.34
6.13969898223877,-0.031,-0.016,0.717,0.026,0.005,0.701,-0.011,-0.019,0.286,-0.003,-0.008,0.323,-0.005,-0.009,0.507
6.92668199539185,-0.015,0.058,0.786,0.027,-0.027,0.745,0.003,0.019,0.406,0.013,0.02,0.401,0.007,0.018,0.585
7.69409990310669,0,-0.078,1.048,0.005,0.051,1.179,-0.012,0.051,0.534,0.012,0.033,0.527,0.001,0.015,0.822
8.45884203910828,-0.027,-0.473,1.521,-0.004,-0.002,1.607,0.004,-0.018,0.701,0.009,-0.019,0.702,-0.005,-0.128,1.133
9.2579448223114,0.02,-0.057,1.221,0.033,-0.077,1.144,0.018,-0.082,0.693,0.017,-0.003,0.823,0.022,-0.055,0.97
10.0240821838379,0.061,-0.164,1.676,0.033,-0.064,1.549,-0.016,-0.018,0.311,0.001,-0.02,0.306,0.02,-0.067,0.961
10.7915730476379,-0.005,0.055,0.88,-0,0.029,0.616,-0.003,-0.007,0.306,0,-0.008,0.358,-0.002,0.017,0.54
