t,lsm0_x,lsm0_y,lsm0_z,lsm1_x,lsm1_y,lsm1_z,i3g0_x,i3g0_y,i3g0_z,i3g1_x,i3g1_y,i3g1_z,fused_x,fused_y,fused_z
0.000161886215209961,-0.004,-0.009,-0.003,0.01,-0.005,0.006,-0.009,-0.002,-0.013,0.002,-0.002,-0.006,-0,-0.004,-0.004
0.767399072647095,0.126,0.107,-0.026,-0.055,-0.052,-0.108,-0.01,-0.001,0.016,-0.003,-0.012,0.049,0.015,0.01,-0.017
1.57037305831909,1.27,-0.112,0.429,0.708,0.489,-0.218,0.161,0.363,-0.157,0.161,0.371,-0.142,0.575,0.278,-0.022
2.3286349773407,0.469,0.372,0.104,0.547,0.17,0.049,0.203,0.28,0.076,0.231,0.262,0.1,0.362,0.271,0.082
3.10098385810852,0.543,0.19,-0.093,0.211,0.217,0.183,0.243,-0.19,-0.05,0.263,-0.187,-0.042,0.315,0.008,-0
3.89184594154358,0.578,-0.56,0.128,0.714,-0.292,-0.056,0.398,-0.132,-0.078,0.392,-0.097,-0.087,0.521,-0.271,-0.023
4.6562819480896,0.599,0.097,-0.041,0.237,0.236,0.086,0.35,0.051,-0.087,0.353,0.053,-0.075,0.385,0.109,-0.029
5.42337799072266,0.423,0.081,-0.028,0.486,-0.061,0.02,0.272,-0.072,0.06,0.278,-0.068,0.061,0.365,-0.03,0.028
6.18583106994629,0.512,0.099,-0.024,0.616,0.105,-0.025,0.297,-0.005,-0.026,0.3,0.001,-0.015,0.431,0.05,-0.022
6.98941993713379,0.434,-0.044,0.006,0.46,0.056,0.047,0.205,0.024,0.007,0.216,-0.016,-0.002,0.329,0.005,0.015
7.75072002410889,0.343,0.046,-0.061,0.351,0.097,-0.009,0.206,0.015,-0.036,0.21,0.013,-0.029,0.278,0.043,-0.034
8.51186418533325,-0.757,-0.363,-0.185,-0.764,-0.336,-0.185,-0.44,-0.116,-0.093,-0.419,-0.108,-0.095,-0.595,-0.231,-0.139
9.31794285774231,-0.774,-0.083,-0.004,-0.764,-0.073,0.001,-0.417,-0.083,0.044,-0.388,-0.073,0.038,-0.586,-0.078,0.02
10.0776469707489,-0.865,0.033,-0.097,-0.856,0.042,-0.105,-0.34,0.017,-0.033,-0.313,0.013,-0.031,-0.594,0.026,-0.067
10.8462829589844,-0.715,0.066,-0.042,-0.681,0.067,-0.051,-0.422,0.055,-0.066,-0.397,0.04,-0.058,-0.554,0.057,-0.054
11.6343369483948,-1.056,0.137,0.244,-0.862,0.15,0.007,-0.41,0.099,-0.052,-0.392,0.091,-0.048,-0.68,0.119,0.038
12.4066278934479,-0.705,0.102,-0.023,-0.638,0.029,0.038,-0.478,-0.09,0.043,-0.441,-0.068,0.05,-0.565,-0.007,0.027
13.1651771068573,-0.575,-0.182,-0.035,-0.411,-0.327,-0.022,-0.322,-0.109,-0.026,-0.299,-0.108,-0.025,-0.402,-0.182,-0.027
13.9317190647125,-0.817,0.425,-0.012,-1.103,0.234,0.143,-0.523,0.061,0.083,-0.413,0.043,0.079,-0.714,0.191,0.073
14.7275240421295,-0.755,0.232,-0.224,-0.892,0.693,-0.137,-0.411,0.407,-0.039,-0.379,0.406,-0.04,-0.609,0.434,-0.11
15.4961531162262,1.262,-0.97,0.229,0.91,-0.548,0.173,0.849,-0.178,0.133,0.863,-0.18,0.161,0.971,-0.469,0.174
16.2563059329987,0.642,0.23,0.121,0.929,-0.129,0.157,0.362,0.132,0.038,0.327,0.15,0.06,0.565,0.096,0.094
17.0608839988708,1.059,-0.154,-0.02,1.174,-0.342,0.057,0.556,-0.266,0.004,0.545,-0.259,0.02,0.834,-0.255,0.015
17.8322401046753,0.838,-0.338,0.089,0.683,-0.033,0.01,0.411,0.022,-0.014,0.409,0.03,-0.003,0.585,-0.08,0.021
18.58607006073,1.118,-0.024,0.024,0.546,0.053,0.151,0.599,-0.077,0.005,0.6,-0.061,0.013,0.716,-0.027,0.048
19.3815569877625,0.579,-0.178,0.143,0.863,-0.088,-0.098,0.491,-0.047,-0.056,0.481,-0.032,-0.056,0.603,-0.086,-0.017
20.1477060317993,0.698,0.121,-0.212,1.008,0.148,-0.313,0.37,0.141,-0.241,0.375,0.136,-0.228,0.613,0.137,-0.248
20.9224939346313,-1.103,0.137,-0.139,-1.07,-0.045,0.157,-0.508,0.091,-0.093,-0.48,0.085,-0.117,-0.79,0.067,-0.048
21.6850321292877,-1.003,0.117,-0.155,-0.615,-0.018,-0.015,-0.335,-0.035,-0.045,-0.309,-0.031,-0.047,-0.565,0.008,-0.065
22.4777071475983,-1.353,0.46,-0.096,-1.016,0.027,-0.06,-0.444,-0.006,-0.035,-0.44,0.03,-0.033,-0.813,0.128,-0.056
23.2394800186157,-0.938,0.13,-0.005,-1.141,-0.156,-0.049,-0.461,0.086,-0.005,-0.433,0.085,-0.004,-0.743,0.036,-0.016
24.0014350414276,-0.654,0.261,0.027,-0.955,-0.104,0.044,-0.621,0.021,0.006,-0.566,0.034,-0.001,-0.699,0.053,0.019
24.8046369552612,-0.746,0.244,-0.08,-0.4,-0.482,-0.064,-0.34,-0.33,-0.106,-0.309,-0.319,-0.104,-0.449,-0.222,-0.088
25.5747759342194,0.918,-0.232,0.165,0.899,-0.228,0.173,0.41,-0.027,0.04,0.401,0.001,0.049,0.657,-0.122,0.107
26.3403809070587,0.829,0.018,0.113,0.745,-0.089,0.09,0.419,0.052,0.032,0.416,0.067,0.036,0.602,0.012,0.068
27.1290140151978,0.956,0.027,0.062,0.965,-0.031,0.083,0.493,-0.031,0.02,0.485,-0.037,0.036,0.724,-0.018,0.05
27.8888759613037,0.87,-0.137,0.06,0.995,-0.176,0.042,0.408,-0.103,0.025,0.392,-0.093,0.031,0.666,-0.127,0.039
28.6626598834991,0.79,0.179,0.109,0.812,-0.039,0.233,0.536,-0.093,-0.008,0.529,-0.082,0.001,0.667,-0.009,0.084
29.4303040504456,1.177,-0.134,0.048,1.152,-0.091,0.121,0.62,-0.012,0.02,0.608,-0.012,0.015,0.889,-0.062,0.051
