t,lsm0_x,lsm0_y,lsm0_z,lsm1_x,lsm1_y,lsm1_z,i3g0_x,i3g0_y,i3g0_z,i3g1_x,i3g1_y,i3g1_z,fused_x,fused_y,fused_z
0.000114202499389648,-0.008,-0.011,-0.005,0.005,-0.001,0.006,-0.01,-0.001,-0.012,0.008,0.003,-0.009,-0.001,-0.003,-0.005
0.659008026123047,-0.006,-0.008,-0.005,0.006,-0.004,0.001,-0.007,0.002,-0.014,0.004,-0.002,-0.009,-0.001,-0.003,-0.007
1.42801308631897,0.009,0.162,0.136,-0.024,0.142,0.103,-0.036,0.063,-0.081,-0.023,0.064,-0.077,-0.018,0.108,0.02
2.19854497909546,-0.062,0.107,-0.015,-0.036,0.103,-0.017,0.026,0.182,-0.046,0.022,0.16,-0.031,-0.012,0.138,-0.027
2.95859599113464,0.098,0.313,-0.001,0.109,0.288,0.042,0.035,0.206,0.015,0.056,0.203,0.022,0.074,0.252,0.019
3.75605297088623,0.026,0.543,0.051,0.038,0.542,0.031,0.021,0.275,0.031,0.029,0.271,0.038,0.029,0.408,0.038
4.52983689308167,-0.071,0.391,-0.039,-0.008,0.338,-0.034,-0.023,0.266,-0.032,-0.013,0.261,-0.031,-0.029,0.314,-0.034
5.29538702964783,0.142,0.348,0.075,0.161,0.395,0.064,0.055,0.138,0.036,0.067,0.143,0.031,0.106,0.256,0.051
6.08651900291443,0.061,0.446,-0.071,0.092,0.4,-0.028,0.027,0.265,-0.055,0.036,0.247,-0.053,0.054,0.34,-0.052
6.85649800300598,0.052,0.45,-0.003,0.007,0.446,-0.015,0.011,0.27,0.004,0.018,0.23,0.018,0.022,0.349,0.001
7.61861610412598,-0.012,0.258,-0.052,0.023,0.158,-0.014,-0.018,0.178,-0.033,0.003,0.219,-0.016,-0.001,0.203,-0.029
8.40788507461548,-0.059,-0.133,-0.18,0.005,0.306,-0.072,-0.042,0.034,-0.056,-0.041,0.031,-0.047,-0.034,0.059,-0.089
9.17618322372437,0.05,0.149,-0.046,-0.363,0.045,-0.097,-0.11,-0.019,-0.047,-0.16,-0.001,-0.022,-0.146,0.043,-0.053
9.93340706825256,0.254,0.744,0.143,0.197,0.532,0.029,-0.03,0.412,-0.068,-0.021,0.407,-0.062,0.1,0.524,0.01
10.7025849819183,-0.003,0.432,-0.034,0.002,0.373,-0.029,0.036,0.174,0.054,0.047,0.175,0.073,0.02,0.289,0.016
11.5056700706482,-0.061,0.024,0.121,-0.077,0.101,0.043,-0.027,-0.013,0.008,-0.022,-0.008,0.04,-0.047,0.026,0.053
12.2742528915405,-0.027,-0.559,0.036,0.01,0.069,-0.039,-0.052,-0.621,-0.053,-0.036,-0.622,-0.035,-0.026,-0.433,-0.023
13.0326120853424,0.061,-1.113,0.141,-0.036,-0.903,0.072,0.02,-0.489,0.097,0.036,-0.476,0.099,0.02,-0.745,0.102
13.8390619754791,-0.126,-0.909,0.005,-0.089,-1.085,0.072,-0.019,-0.569,0.009,-0.011,-0.54,0.016,-0.061,-0.776,0.025
14.597836971283,-0.209,-1.101,0.11,-0.28,-0.876,0.152,-0.166,-0.392,0.016,-0.148,-0.377,0.006,-0.201,-0.686,0.071
15.3590221405029,-0.03,-0.604,0.085,0.072,-0.932,0.224,-0.059,-0.294,0.038,-0.033,-0.303,0.042,-0.012,-0.533,0.097
16.1495039463043,-0.135,-0.497,0.072,-0.014,-0.46,0.066,-0.072,-0.306,-0.016,-0.064,-0.287,0.021,-0.071,-0.387,0.036
16.9161202907562,-0.172,-0.572,-0.108,0.009,-0.705,-0.061,0.017,-0.377,-0.034,0.021,-0.373,-0.031,-0.031,-0.507,-0.058
17.6937680244446,-0.066,-0.53,-0.01,0.036,-0.733,-0.087,-0.016,-0.231,-0.003,0.006,-0.226,0.001,-0.01,-0.43,-0.025
18.4452939033508,0.066,-0.669,-0.016,0.054,-0.77,0.008,0.071,-0.303,0.015,0.085,-0.296,0.021,0.069,-0.509,0.007
19.2545320987701,0.031,-0.501,-0.041,-0.055,-0.486,-0.094,-0.013,-0.269,-0.086,0.012,-0.247,-0.084,-0.006,-0.376,-0.076
20.0149381160736,-0.081,-0.414,0.039,-0.068,-0.575,-0.104,-0.04,-0.175,0.031,-0.019,-0.173,0.028,-0.052,-0.334,-0.001
