t,lsm0_x,lsm0_y,lsm0_z,lsm1_x,lsm1_y,lsm1_z,i3g0_x,i3g0_y,i3g0_z,i3g1_x,i3g1_y,i3g1_z,fused_x,fused_y,fused_z
0.000176191329956055,-0.006,-0.01,-0.005,0.007,-0.003,0.005,-0.007,0,-0.012,0.006,0.002,-0.014,-0,-0.003,-0.007
0.766249179840088,-0.01,-0.006,-0.007,0.009,-0.005,0.006,-0.012,-0.002,-0.009,0.005,-0.004,-0.013,-0.002,-0.004,-0.006
1.53187322616577,-0.006,-0.008,-0.004,0.008,-0.005,0.007,-0.004,-0.003,-0.05,0.009,-0.007,-0.011,0.002,-0.006,-0.014
2.30985116958618,-0.022,-0.026,-0.333,-0.001,-0.006,-0.358,-0.007,0.002,-0.187,0.012,0.005,-0.172,-0.004,-0.006,-0.263
3.1118221282959,0.004,0.002,-0.129,-0.03,-0.05,-0.291,-0.006,-0.008,-0.134,0.013,-0.003,-0.131,-0.005,-0.015,-0.171
3.86901211738586,0.013,0.042,-0.407,0.007,0.002,-0.237,-0.006,0.001,-0.1,0.008,0.002,-0.087,0.006,0.012,-0.208
4.6485390663147,-0.001,-0.011,-0.266,0.02,0.002,-0.447,-0.007,-0.007,-0.048,0.004,-0.004,-0.043,0.004,-0.005,-0.201
5.43716216087341,-0,0.005,-0.375,0.002,-0,-0.304,-0.007,0.002,-0.153,0.002,-0.004,-0.135,-0.001,0.001,-0.242
6.19749903678894,0.011,0.006,-0.464,0.015,0.01,-0.181,-0.007,0.001,-0.19,0.001,-0.001,-0.181,0.005,0.004,-0.254
6.97065114974976,-0.008,-0.005,-0.472,0.029,0.023,-0.415,-0.01,0.004,-0.274,0.007,0,-0.226,0.005,0.006,-0.346
7.76557016372681,0.001,-0.009,-0.268,0.012,0.005,-0.169,-0.009,0.001,-0.121,0.005,0.002,-0.111,0.002,-0,-0.167
8.51815032958984,-0.002,-0,-0.147,0.013,-0.009,-0.039,-0.009,-0.002,-0.069,0.014,-0.001,-0.071,0.004,-0.003,-0.081
9.29506301879883,-0.016,-0.014,-0.216,0.004,-0.005,-0.108,-0.007,-0.003,-0.216,0.008,-0.001,-0.197,-0.003,-0.006,-0.184
10.0507872104645,-0.017,-0.013,-0.292,0.011,-0.012,-0.34,-0.008,-0.002,-0.157,0.002,-0.002,-0.158,-0.003,-0.007,-0.236
10.8543071746826,0.008,0.007,-0.286,0.024,0.007,-0.457,-0.013,-0.012,-0.246,-0.005,-0.015,-0.14,0.004,-0.003,-0.282
11.6153969764709,-0.019,-0.029,-0.356,0.016,-0.007,-0.347,0.003,0.008,-0.209,0.013,0.003,-0.2,0.003,-0.006,-0.278
12.3912091255188,-0.002,-0.069,-0.103,0.009,0.037,-0.269,-0.017,0.027,-0.234,0.003,0.031,-0.22,-0.002,0.007,-0.206
13.1832830905914,0.008,-0.068,-0.359,0.004,0.188,-0.453,-0.017,-0.008,-0.153,0.006,-0.01,-0.145,0,0.026,-0.278
13.9483540058136,-0.005,-0.008,-0.06,0.005,0.02,-0.223,-0.009,-0.015,-0.262,0.009,-0.001,-0.25,0,-0.001,-0.199
14.7155201435089,-0,-0.036,-0.182,-0.017,0.26,-0.362,-0.011,0.004,-0.017,0.005,0.001,-0.012,-0.006,0.057,-0.143
15.5064289569855,0.016,-0.127,-0.262,0.027,-0.135,-0.269,-0.017,0.011,-0.178,-0.004,0.019,-0.181,0.005,-0.058,-0.223
16.2674741744995,-0.01,0.004,-0.035,0.002,-0.003,-0.015,-0.01,0.004,-0.031,0.003,0.011,-0.022,-0.004,0.004,-0.026
17.0323641300201,-0.006,-0.007,-0.025,0.004,0,-0.014,-0.01,0.001,-0.04,0.003,0,-0.037,-0.003,-0.002,-0.029
17.7989799976349,-0.013,-0,-0.253,0.005,0.023,-0.122,-0.009,-0.006,-0.105,0.007,-0.004,-0.106,-0.002,0.003,-0.147
18.5892720222473,0.005,-0.084,-0.011,0.002,-0.01,-0.005,-0.012,-0.005,-0.233,0.007,-0.006,-0.217,0.001,-0.026,-0.116
19.3716900348663,-0.066,0.19,-0.056,0.038,0.115,-0.451,0.009,-0.023,-0.474,0.026,0,-0.393,0.002,0.07,-0.343
20.1336271762848,-0.008,-0.03,-0.225,0.023,0.005,-0.257,-0.006,0.001,-0.016,0.003,-0.002,-0.011,0.003,-0.006,-0.127
20.9226312637329,-0.009,-0.003,-0.043,0.002,0.002,-0.061,-0.003,-0.002,-0.026,0.002,-0.007,-0.015,-0.002,-0.002,-0.036
21.6985430717468,-0.005,-0.014,-0.04,0.01,-0.005,-0.026,-0.003,-0.005,-0.02,0.008,-0.004,-0.015,0.002,-0.007,-0.025
22.4611241817474,-0.007,0.009,-0.111,0.007,-0.013,-0.126,-0.009,-0.005,-0.018,0.009,-0.007,-0.01,0,-0.004,-0.066
23.2518811225891,0.004,-0.009,-0.226,0.014,-0.01,-0.282,-0.005,-0.001,-0.117,0.011,0.001,-0.111,0.006,-0.005,-0.184
24.0175681114197,-0,-0.012,-0.067,0.033,0.009,-0.483,-0.007,0.007,-0.225,0.011,-0.002,-0.226,0.009,0,-0.25
24.775866985321,-0.004,-0.007,-0.173,0.013,-0.002,-0.275,-0.009,-0.004,-0.097,0.005,-0.001,-0.089,0.001,-0.004,-0.158
25.5470380783081,0.006,-0.011,-0.164,0.006,0.004,-0.199,-0.005,-0.004,-0.11,0.006,-0.002,-0.085,0.003,-0.003,-0.139
26.3488173484802,0.015,-0.025,-0.23,-0.002,0.012,-0.186,0.003,-0.015,-0.131,0.015,-0.009,-0.114,0.008,-0.009,-0.165
27.1178390979767,-0.012,-0.001,-0.156,0.023,-0.018,-0.216,-0.002,-0.015,-0.136,0.018,-0.012,-0.131,0.007,-0.012,-0.16
27.874831199646,-0.013,0.012,-0.204,0.001,0.009,-0.186,-0.01,-0.002,-0.097,0.005,0.004,-0.084,-0.004,0.006,-0.143
28.6659941673279,-0.004,-0.005,-0.163,0.011,-0.002,-0.209,-0.009,-0.001,-0.097,0.011,-0.002,-0.08,0.002,-0.002,-0.137
29.4328751564026,-0.011,-0.004,-0.071,0.014,-0.01,-0.049,-0.002,-0.012,-0.125,0.015,-0.013,-0.131,0.004,-0.01,-0.094
30.205931186676,-0.021,0.005,-0.157,0.01,-0.005,-0.106,0.003,-0.011,-0.204,0.021,-0.009,-0.188,0.003,-0.005,-0.164
30.9993360042572,0.003,-0.023,-0.098,0.004,-0.002,-0.013,-0.002,-0.001,-0.098,0.011,-0.007,-0.119,0.004,-0.008,-0.082
31.7632191181183,0.006,-0.013,-0.051,0.016,-0.015,-0.051,-0.002,-0.008,-0.03,0.007,-0.007,-0.018,0.007,-0.011,-0.037
32.5239150524139,-0.023,0.016,-0.469,0.004,0.009,-0.323,-0.013,-0.002,-0.172,0.011,0,-0.187,-0.005,0.006,-0.288
33.2906291484833,-0.007,-0.013,-0.146,0.02,-0.018,-0.025,-0.004,-0.006,-0.088,0.009,-0.003,-0.084,0.005,-0.01,-0.086
34.0863761901855,-0.012,0,0.474,-0.01,0.012,0.401,-0.007,-0.009,0.201,-0.001,-0.004,0.202,-0.007,-0,0.32
34.8475620746613,-0.007,-0,0.23,0.004,-0.005,0.26,-0.007,-0.006,0.14,0.001,-0.005,0.147,-0.002,-0.004,0.194
35.6145181655884,-0.01,-0.002,0.241,0.008,-0.002,0.282,-0.015,-0.005,0.195,-0.004,-0.002,0.209,-0.005,-0.003,0.232
36.4209060668945,-0.014,-0.004,0.238,-0.009,0.008,0.328,-0.006,-0.007,0.2,0.002,-0.006,0.21,-0.007,-0.002,0.244
37.1789391040802,-0.034,-0.03,0.45,-0.011,-0.012,0.408,-0.014,0.004,0.104,-0.006,0,0.1,-0.016,-0.009,0.265
37.9465930461884,-0.008,0.004,0.222,0.008,0.011,0.207,-0.012,-0.002,0.124,0.002,-0.006,0.13,-0.002,0.002,0.171
38.7453820705414,-0.026,-0.04,0.274,-0.002,-0.014,0.29,-0.012,-0.005,0.091,0,-0.002,0.12,-0.01,-0.015,0.194
39.5008172988892,-0.008,-0.008,0.094,0.001,-0.004,0.099,-0.009,-0.004,0.065,0.006,0.004,0.082,-0.002,-0.003,0.085
40.263453245163,0.001,-0.001,0.226,-0.004,-0.008,0.206,-0.014,-0.008,0.076,-0.007,-0.004,0.084,-0.006,-0.005,0.148
41.0352091789246,-0.006,-0.001,0.281,0.001,-0.004,0.198,-0.019,-0.01,0.143,-0.015,-0.021,0.135,-0.01,-0.009,0.189
41.829519033432,-0.005,-0.014,0.131,-0.004,-0.013,0.184,-0.005,-0.018,0.089,0.008,0.03,0.115,-0.002,-0.004,0.13
42.6040892601013,-0.017,-0.012,0.292,0.001,0.085,0.502,-0.004,0,0.126,0.002,0.005,0.112,-0.004,0.02,0.258
43.3718831539154,0.001,-0.004,0.414,0.016,0.013,0.343,-0,0.003,0.152,0.01,0.003,0.157,0.007,0.004,0.266
44.1589002609253,-0.001,-0.004,0.402,0.012,0.001,0.397,-0.01,-0.006,0.151,0.006,-0.01,0.139,0.002,-0.005,0.272
44.9365301132202,-0.005,-0.018,0.107,-0.016,-0.005,0.091,0.007,-0.004,0.058,0.017,-0.002,0.064,0.001,-0.007,0.08
45.6907629966736,0.002,0.012,0.643,0.015,-0.055,0.832,0.028,-0.011,0.488,0.033,-0.007,0.487,0.02,-0.015,0.612
46.4910161495209,-0.001,-0.003,0.681,0.015,-0.001,0.687,-0.022,-0.016,0.194,-0.004,0.001,0.182,-0.003,-0.005,0.436
47.2458550930023,0.02,0.035,0.496,-0.002,0.016,0.64,-0.004,0.01,0.261,0.005,0.013,0.248,0.005,0.019,0.411
48.019608259201,-0.013,-0.005,0.324,-0.002,-0.017,0.516,-0.006,-0.002,0.334,0.001,-0.003,0.307,-0.005,-0.007,0.37
48.7785940170288,-0.011,-0.027,0.222,0.001,-0.011,0.392,-0.009,-0.002,-0.007,0.002,-0.003,0.003,-0.004,-0.011,0.152
49.5865340232849,-0.03,-0.017,0.548,-0.042,-0,0.793,-0.006,0.001,0.228,-0,-0.004,0.183,-0.02,-0.005,0.438
50.3393821716309,-0.036,-0.047,0.586,-0.031,-0.029,0.569,-0.014,-0.001,0.229,-0.005,0.001,0.226,-0.022,-0.019,0.403
51.1203441619873,0.004,0.006,0.218,0.009,-0.005,0.487,-0.008,-0.002,0.106,-0.001,0.001,0.144,0.001,0,0.239
51.9028820991516,-0.003,0.006,0.232,-0.007,-0.029,0.308,0.001,0.007,0.002,0.015,0.007,0.012,0.002,-0.002,0.139
52.6782310009003,-0.062,-0.058,0.28,0.021,0.024,0.499,-0.016,-0.003,0.041,0,-0.006,0.045,-0.014,-0.011,0.217
53.4442839622498,-0.02,-0.009,0.201,0.027,0.023,0.182,0.005,0.016,0.099,0.017,0.017,0.111,0.007,0.011,0.148
54.2337610721588,-0.003,-0.009,0.129,0.023,0.019,0.156,-0.005,-0.002,0.053,0.006,-0.006,0.053,0.005,0.001,0.098
54.9902663230896,0.016,0.011,0.185,0.024,0.024,0.324,-0.016,-0.006,0.125,-0.002,-0.004,0.145,0.006,0.006,0.195
55.7644441127777,-0.003,0.004,0.146,0.007,0.013,0.381,-0.013,-0.007,0.197,-0.002,-0.001,0.206,-0.002,0.002,0.232
56.5286521911621,0.015,0.012,-0.518,0.039,0.028,-0.56,-0.012,0.002,-0.281,0.006,-0.001,-0.267,0.012,0.01,-0.407
57.3214271068573,-0,-0.014,-0.539,0.025,0.001,-0.504,0.001,-0.002,-0.247,0.014,0.004,-0.237,0.01,-0.002,-0.382
58.0887672901154,0.014,0.002,-0.432,0.008,-0.007,-0.367,-0.009,-0.007,-0.267,0.006,-0.007,-0.281,0.005,-0.005,-0.336
58.8565831184387,0.005,-0.006,-0.436,0.029,0.01,-0.521,-0.007,-0.004,-0.206,0.008,-0.002,-0.201,0.009,-0.001,-0.341
59.6572840213776,0.011,-0.002,-0.343,0.015,0.002,-0.293,-0.007,-0.006,-0.244,0.008,-0.001,-0.23,0.007,-0.002,-0.277
60.4261751174927,0.006,-0.002,-0.605,0.024,0.013,-0.609,0.002,-0.007,-0.368,0.019,-0.005,-0.358,0.013,-0,-0.485
61.1912171840668,0.004,-0.014,-0.474,0.023,-0.009,-0.483,0.004,-0.005,-0.27,0.015,-0.004,-0.241,0.011,-0.008,-0.367
61.9766042232513,-0.007,-0.022,-0.536,0.012,-0.022,-0.72,-0.012,-0.005,-0.227,0.004,-0.005,-0.211,-0.001,-0.013,-0.424
