t,lsm0_x,lsm0_y,lsm0_z,lsm1_x,lsm1_y,lsm1_z,i3g0_x,i3g0_y,i3g0_z,i3g1_x,i3g1_y,i3g1_z,fused_x,fused_y,fused_z
0.000184774398803711,-0.004,-0.004,-0,0.003,-0.002,0.003,-0.009,-0.001,-0.011,0.004,-0.001,-0.008,-0.002,-0.002,-0.004
0.730383634567261,-0.003,-0.004,-0.001,0.003,-0.001,0.003,-0.003,-0,-0.015,0.004,-0.001,-0.011,0,-0.002,-0.006
1.48404288291931,0.053,0.016,-0.05,0.025,0.018,0.046,-0.014,0.005,-0.015,0.002,-0.005,-0.007,0.016,0.009,-0.007
2.25698375701904,0.579,-0.03,-0.159,0.65,-0.015,-0.136,0.36,-0.006,-0.025,0.411,-0.005,-0.013,0.5,-0.014,-0.083
3.05936479568481,0.42,-0.028,-0.105,0.5,-0.024,-0.092,0.276,0.035,-0.014,0.299,0.032,-0.006,0.374,0.004,-0.054
3.82631587982178,0.348,0.018,-0.026,0.396,-0.018,-0.034,0.094,0.06,0.033,0.111,0.079,0.059,0.237,0.035,0.008
4.58792471885681,0.214,-0.015,0.044,0.232,-0.01,0.061,0.161,-0.002,0.053,0.174,-0.005,0.062,0.195,-0.008,0.055
5.39196276664734,0.171,-0.038,0.03,0.186,-0.049,0.048,0.198,-0.062,-0.032,0.217,-0.1,-0.031,0.193,-0.062,0.004
6.15171885490417,0.077,-0.003,0.009,0.127,-0.031,0.011,0.104,-0.002,-0.017,0.118,0.006,-0.007,0.106,-0.007,-0.001
6.91378092765808,0.086,-0.011,-0.024,0.141,0.025,-0.033,0.099,0.046,-0.075,0.113,0.04,-0.054,0.11,0.025,-0.046
7.71051383018494,0.084,0.025,-0.005,0.063,0.021,0.018,0.106,0.032,-0.024,0.116,0.029,-0.022,0.092,0.027,-0.008
8.46549272537231,-0.101,-0.001,0.018,-0.048,-0.044,-0.002,-0.172,0.015,0.013,-0.164,0.011,0.018,-0.121,-0.004,0.012
9.24287366867065,-0.543,-0.002,-0.121,-0.554,0.018,-0.127,-0.429,0.007,-0.184,-0.411,-0.004,-0.163,-0.484,0.005,-0.149
10.0016317367554,-1.382,0.065,0.061,-1.251,0.039,-0.059,-1.184,-0.068,-0.039,-1.216,-0.084,-0.052,-1.258,-0.012,-0.022
10.7945339679718,-0.341,0.002,-0.032,-0.393,-0.022,0.001,-0.309,-0.032,-0.015,-0.293,-0.026,-0.014,-0.334,-0.019,-0.015
