ax,ay,az,omega_x,omega_y,omega_z
0.21296,0.25065,9.6422,0.0003,-0.0049,-0.003
0.22044,0.26411,9.6452,-0.0022,-0.0024,-0.0057
0.19741,0.26082,9.6338,-0.0019,-0.0036,-0.0044
0.20728,0.25454,9.6494,0.0008,-0.0028,-0.0049
0.20937,0.23838,9.6368,0.0003,-0.0035,-0.0038
0.22762,0.24437,9.6476,-0.0013,-0.004,-0.004
0.22074,0.25095,9.638,0.0006,-0.005,-0.0041
0.21505,0.25723,9.632,-0,-0.0045,-0.0057
0.19531,0.27846,9.6203,-0.0006,-0.0037,-0.0047
0.19352,0.24796,9.6461,0.0005,-0.0076,-0.004
0.22642,0.26471,9.6323,0.0008,-0.0041,-0.0048
0.21176,0.25813,9.6419,0.0019,-0.0043,-0.0008
0.22253,0.26022,9.6529,-0.0003,-0.0034,-0.0032
0.20578,0.24347,9.6344,-0.001,-0.0047,-0.0052
0.19831,0.2674,9.6425,-0.0024,-0.0039,-0.0035
0.22552,0.25065,9.6242,-0.0023,-0.0027,-0.0056
0.22971,0.23689,9.6503,0.0003,-0.002,-0.0041
0.2016,0.26411,9.6583,0.0014,-0.0032,-0.0041
0.2013,0.27069,9.6425,-0.0015,-0.004,-0.0042
0.21685,0.27278,9.6515,-0.0016,-0.0039,-0.0055
0.2004,0.25633,9.6257,-0.0007,-0.0044,-0.0032
0.22223,0.25753,9.6604,-0.0009,-0.0041,-0.0044
0.19172,0.26321,9.6314,0.0016,-0.0037,-0.0026
0.20668,0.2659,9.644,-0.0001,-0.0036,-0.0067
0.21535,0.26381,9.6326,0.0009,-0.0032,-0.004
0.21476,0.24227,9.6305,-0.0004,-0.0024,-0.0054
0.22283,0.25484,9.6293,-0.0029,-0.0035,-0.0032
0.23599,0.25663,9.6314,-0.0005,-0.0038,-0.0052
0.22014,0.24945,9.6574,0.001,-0.0029,-0.0036
0.2001,0.27488,9.6084,0.0025,-0.0025,-0.004
0.19292,0.25902,9.6449,0.0007,-0.0037,-0.004
0.22881,0.24048,9.6197,-0.0016,-0.0037,-0.0042
0.21446,0.25842,9.641,0,-0.0031,-0.0042
0.22822,0.25543,9.6293,-0.0016,-0.0032,-0.007
0.18933,0.22403,9.6571,-0.003,-0.0025,-0.0068
0.22283,0.23988,9.6317,0.0004,-0.0039,-0.0038
0.21356,0.24885,9.6317,-0.0006,-0.0045,-0.0055
0.22403,0.25155,9.6535,-0.0009,-0.0025,-0.0044
0.22134,0.25783,9.6105,-0.0011,-0.0047,-0.0045
0.20907,0.25543,9.6326,-0.0004,-0.0037,-0.0031
0.22343,0.25633,9.6251,-0.0003,-0.0044,-0.0026
0.21476,0.25304,9.6464,-0.0006,-0.002,-0.0055
0.21745,0.24407,9.6637,-0.0006,-0.0037,-0.0037
0.201,0.2671,9.682,-0.0014,-0.0044,-0.0023
0.2007,0.26201,9.6147,-0.0013,-0.0038,-0.004
