t,lsm0_x,lsm0_y,lsm0_z,lsm1_x,lsm1_y,lsm1_z,i3g0_x,i3g0_y,i3g0_z,i3g1_x,i3g1_y,i3g1_z,fused_x,fused_y,fused_z,mag_x,mag_y,mag_z
0.377484321594238,-0.003,-0.001,0.01,0.006,0.007,0.008,-0.02,0.002,-0.02,-0.008,0.003,-0.008,-0.006,0.003,-0.003,NaN,NaN,NaN
0.954497098922729,-0.003,-0.047,-0.029,0.005,-0.054,-0.023,-0.009,-0.061,-0.05,0.01,-0.048,-0.032,0.001,-0.053,-0.033,-8.2095e-07,-1.0895e-05,5.6562e-06
1.41885924339294,0.012,0.002,-0.014,0.027,-0.006,-0.008,0.032,0.004,-0.03,0.019,0.005,-0.013,0.023,0.001,-0.016,7.4324e-06,-1.2266e-05,-3.336e-06
2.26238322257996,0.02,0.005,-0.023,0.03,0.012,-0.018,0.012,-0.015,-0.042,0.027,-0.006,-0.038,0.022,-0.001,-0.03,8.2486e-07,-1.1728e-05,3.4097e-06
2.9580180644989,0.014,0,-0.089,0.019,-0.009,-0.077,0.014,-0.023,-0.121,0.025,-0.016,-0.106,0.018,-0.012,-0.098,4.9199e-06,-6.6707e-06,6.2842e-06
3.73529815673828,0.008,0.009,-0.112,0.008,0.003,-0.096,0.007,0.023,-0.132,0.022,0.014,-0.113,0.011,0.012,-0.113,1.9284e-06,-5.686e-06,9.4065e-06
4.58173608779907,-0.037,0.007,0.201,-0.049,-0.006,0.183,-0.025,0.013,0.218,-0.014,0.012,0.206,-0.031,0.007,0.202,3.0856e-06,-6.8555e-06,7.8827e-06
5.33454537391663,-0.018,0.002,0.062,-0.006,0.015,0.057,0.001,0.006,0.041,0.021,0.004,0.041,-0.001,0.007,0.05,2.6843e-06,-5.8813e-06,6.7081e-06
6.08841919898987,-0.005,0.005,0.003,-0.009,0.019,0.015,-0.001,0.009,-0.013,0.011,0.009,-0.004,-0.001,0.01,0,-2.3715e-06,-1.0026e-05,2.5422e-06
6.91835021972656,-0.017,-0.001,0.001,-0.017,-0.005,0.004,-0.025,0.007,-0.005,-0.015,0.008,0.003,-0.018,0.002,0.001,-7.4063e-07,-9.3003e-06,1.2942e-05
7.76646900177002,-0.007,-0.009,-0.006,-0.004,-0.009,-0.001,-0.027,-0.02,0,-0.013,-0.021,0.001,-0.013,-0.015,-0.002,-4.569e-06,-1.0801e-05,-7.006e-06
8.48118615150452,0,-0.001,0.014,0.009,0.002,0.016,-0.008,0.006,-0.004,0.007,0.01,0.006,0.002,0.004,0.008,4.4112e-07,-1.0468e-05,8.4795e-06
9.09490823745728,-0.009,-0.003,0,-0.002,-0.003,0.005,-0.015,0.002,-0.003,-0.006,0.008,-0,-0.008,0.001,0.001,2.4577e-06,-7.1074e-06,5.9583e-06
10.0061671733856,0.001,-0.003,-0.006,0.008,-0.002,0.001,-0.001,0,-0.006,0.008,-0.003,0.003,0.004,-0.002,-0.002,-3.849e-06,-9.8804e-06,6.2092e-06
10.8135511875153,0.01,0.012,0.007,0.016,0.01,0.012,0.011,0.011,-0.005,0.022,0.013,0,0.015,0.012,0.004,4.3503e-06,-1.0548e-05,1.1161e-06
11.6553173065186,-0.008,-0.017,-0.007,-0.008,-0.02,-0.005,0.006,-0.003,-0.009,0.022,0.002,-0.003,0.003,-0.01,-0.006,-2.9388e-06,-8.0501e-06,4.5333e-06
12.2361731529236,-0.023,-0.025,0.003,-0.021,-0.016,0.006,-0.02,-0.012,-0.006,-0.007,-0.015,-0.008,-0.018,-0.017,-0.001,-3.3059e-07,-1.5433e-05,-8.9632e-07
13.0214982032776,-0.03,-0.005,-0.005,-0.027,-0.011,-0.002,-0.025,-0.019,-0.023,-0.01,-0.021,-0.018,-0.023,-0.014,-0.012,2.0941e-06,-9.3001e-06,-1.0328e-05
13.7860572338104,-0.006,0.002,-0.011,0,0.001,-0.009,-0.013,0.006,-0.032,0.002,0.011,-0.019,-0.004,0.005,-0.018,1.2089e-06,-1.0104e-05,-5.5672e-06
14.5250701904297,-0.003,-0.004,-0.015,0.01,0.004,-0.007,-0.009,0.007,-0.03,0.003,0.01,-0.025,0,0.004,-0.019,4.6885e-06,-7.2293e-06,7.0418e-07
15.3262610435486,-0.015,-0.012,-0.01,-0.015,0,0,-0.019,0.007,-0.028,-0.014,0.007,-0.017,-0.016,0.001,-0.014,7.1696e-07,-9.3608e-06,8.0765e-06
16.0724370479584,-0.003,-0.007,0.015,-0.006,-0.004,0.018,-0.021,-0.003,-0.005,-0.007,-0.007,0.005,-0.009,-0.006,0.008,-2.6659e-06,-6.5545e-06,2.5156e-06
16.9106111526489,0.012,-0.01,-0.018,0.017,-0.003,-0.015,0.019,0.006,-0.021,0.032,0.008,-0.017,0.02,0,-0.018,-4.5441e-07,-1.0585e-05,-5.202e-08
17.6680543422699,-0.013,-0.027,-0.048,-0.006,-0.004,-0.034,-0.009,-0.024,-0.066,-0.002,-0.022,-0.055,-0.007,-0.019,-0.051,7.7373e-07,-1.1569e-05,-9.1545e-06
18.4106252193451,-0.019,-0.02,-0.082,-0.019,0.014,-0.067,-0.042,0.014,-0.114,-0.032,0.018,-0.098,-0.028,0.007,-0.09,-4.1177e-07,-1.1211e-05,-5.093e-07
