t,lsm0_x,lsm0_y,lsm0_z,lsm1_x,lsm1_y,lsm1_z,i3g0_x,i3g0_y,i3g0_z,i3g1_x,i3g1_y,i3g1_z,fused_x,fused_y,fused_z
0.000279664993286133,-0.004,-0.007,-0.004,0.004,-0.005,0.004,-0.009,0,-0.012,0.009,-0.002,-0.007,-0,-0.003,-0.005
0.667927026748657,-0.007,-0.007,-0.002,0.003,-0.003,0.004,-0.009,0.002,-0.014,0.007,-0.005,-0.013,-0.001,-0.003,-0.006
1.47032880783081,-0.005,-0.007,-0.002,0.004,-0.006,0.005,-0.006,-0.003,-0.013,0.007,-0,-0.005,-0,-0.004,-0.004
2.23911690711975,-0.005,-0.007,-0.005,0.004,-0.004,0.005,-0.009,-0.002,-0.007,0.005,-0.007,-0,-0.001,-0.005,-0.002
3.00505304336548,-0.003,-0.005,-0.002,0.001,-0.008,0.006,-0.005,-0.002,-0.014,0.004,0.001,-0.002,-0.001,-0.004,-0.003
3.80203890800476,-0.006,-0.008,-0.004,0.005,-0.002,0.004,-0.005,-0.002,-0.012,0.008,0,-0.009,0,-0.003,-0.005
4.5803599357605,-0.004,-0.007,-0.004,0.003,-0.007,0.005,-0.011,-0.001,-0.01,0.002,-0.002,-0.006,-0.002,-0.004,-0.004
5.33635282516479,-0.009,-0.005,-0.004,0.007,-0.007,0.007,-0.01,-0.002,-0.015,0.004,-0.002,-0.009,-0.002,-0.004,-0.005
6.1098358631134,-0.005,-0.01,-0.005,0.004,-0,0.006,-0.01,-0.004,-0.017,0.002,-0.002,-0.006,-0.002,-0.004,-0.005
6.92006087303162,-0.008,-0.005,-0.004,0.002,-0.001,0.006,-0.006,-0.003,-0.014,0.005,-0,-0.012,-0.002,-0.002,-0.006
7.68085694313049,-0.004,-0.011,-0.004,0.007,-0,0.001,-0.01,0.001,-0.008,0.001,-0.001,-0.011,-0.002,-0.003,-0.006
8.46770286560059,-0.007,-0.008,-0.003,0.008,-0.004,0.004,-0.008,-0.002,-0.013,0.004,-0.003,-0.007,-0.001,-0.004,-0.005
9.25435280799866,-0.007,-0.007,-0.003,0.007,-0.005,0.004,-0.008,-0.003,-0.012,0.009,0.002,-0.007,0,-0.003,-0.005
10.0483329296112,-0.01,-0.005,-0.003,0.002,-0.006,0.007,-0.009,-0.001,-0.02,0.003,0.001,-0.009,-0.003,-0.003,-0.006
10.8158850669861,-0.003,-0.009,-0.004,0.008,-0.003,0.006,-0.01,0,-0.015,0.006,-0.003,-0.013,0,-0.004,-0.006
11.5955629348755,-0.004,0,-0.004,0.003,-0.004,0.006,-0.008,-0,-0.013,0.006,-0.005,-0.009,-0.001,-0.002,-0.005
12.3748269081116,-0.007,-0.01,-0.002,0.004,-0.006,0.005,-0.007,-0.003,-0.016,0.011,-0.004,-0.009,0,-0.006,-0.005
13.1375358104706,-0.004,-0.007,-0.001,0.002,-0.006,0.004,-0.011,-0.002,-0.017,0.007,0.002,-0.007,-0.001,-0.003,-0.005
13.8989918231964,-0.007,-0.007,-0.006,0.011,-0.003,0.006,-0.005,-0.004,-0.014,0.011,-0.004,-0.006,0.002,-0.004,-0.005
14.7014858722687,-0.003,-0.009,-0.003,0.006,-0.01,0.004,-0.007,0,-0.021,0.001,-0.003,-0.009,-0.001,-0.005,-0.007
15.4605469703674,-0.005,-0.005,-0.006,0.01,-0.003,0.001,-0.01,-0.001,-0.013,0.008,-0.002,-0,0.001,-0.003,-0.005
16.2371647357941,-0.006,-0.007,-0.003,0.005,-0.006,0.003,-0.009,-0.004,-0.013,0.007,0.002,-0.01,-0.001,-0.004,-0.006
17.022754907608,-0.007,-0.011,-0.003,0.009,-0.004,0.005,-0.013,-0.004,-0.012,0.006,-0.004,-0.004,-0.001,-0.006,-0.003
17.7993040084839,-0.006,-0.007,-0.002,0.004,-0.002,0.003,-0.009,-0.002,-0.016,0.003,-0.001,-0.003,-0.002,-0.003,-0.004
18.5715887546539,-0.009,-0.002,-0.002,0.005,-0.004,0.004,-0.009,0.001,-0.016,0.003,-0.002,-0.005,-0.003,-0.002,-0.005
19.3634037971497,-0.005,-0.01,-0.005,0.004,-0.005,0.006,-0.015,-0.002,-0.012,0.003,-0.004,-0.015,-0.003,-0.005,-0.006
20.139533996582,-0.008,-0.009,-0.004,0.006,-0.003,0.005,-0.01,0.003,-0.014,0.002,0.003,-0.002,-0.003,-0.001,-0.004
20.8916747570038,-0.006,-0.007,-0.003,0.002,-0,0.006,-0.011,-0.005,-0.02,0.002,-0.004,-0.008,-0.003,-0.004,-0.006
21.6593728065491,-0.008,-0.005,-0.003,0.002,-0.005,0.006,-0.007,-0.004,-0.015,0.006,-0.003,-0.008,-0.001,-0.004,-0.005
22.4553678035736,-0.004,-0.008,-0.004,0.008,-0.006,0.005,-0.016,-0.002,-0.019,0.008,-0.001,-0.006,-0.001,-0.004,-0.006
23.2230520248413,-0.003,-0.007,-0.004,0.005,-0.005,0.007,-0.004,0.001,-0.013,0.008,-0.007,-0.013,0.002,-0.004,-0.006
23.9971828460693,-0.007,-0.012,-0.004,0.006,-0.003,0.005,-0.007,0.001,-0.021,0.003,-0.004,-0.007,-0.001,-0.004,-0.007
24.7840077877045,-0.006,-0.008,-0.003,0.002,-0.007,0.005,-0.005,0.002,-0.017,0.002,0,-0.008,-0.002,-0.003,-0.006
25.5611007213593,-0.004,-0.001,-0.004,0.007,-0.004,0.004,-0.009,0.002,-0.013,0.005,-0.001,-0.011,-0,-0.001,-0.006
26.3368818759918,-0.009,-0.007,-0.002,0.011,-0.003,0.003,-0.013,-0.001,-0.016,0.004,-0.002,-0.013,-0.002,-0.003,-0.007
27.1103889942169,-0.005,-0.01,-0.004,0.007,-0.001,0.003,-0.014,-0.003,-0.015,0.003,-0.001,-0.008,-0.002,-0.004,-0.006
