rx_wall_time,timestamp_ms,priority,src,src_name,dst,dst_name,cls,cls_name,opcode,opcode_name,p2,p3,p4,p5,p6,p7,can_id_hex
1776999054.410,108865,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999058.402,112882,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999062.408,116901,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999066.409,120917,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999070.486,124933,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999074.493,128949,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999078.473,132966,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999082.493,136983,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999086.549,141000,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999090.549,145017,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999094.538,149036,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999098.555,153053,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999102.570,157067,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999106.609,161082,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999110.609,165101,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999114.609,169117,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999118.635,173134,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999122.692,177154,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999126.687,181170,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999130.688,185186,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999134.705,189202,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999138.720,193219,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999142.758,197236,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999146.779,201253,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999150.759,205269,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999154.788,209287,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999158.858,213304,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999162.844,217321,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999166.841,221340,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999170.858,225358,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999174.926,229376,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999178.908,233393,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999182.911,237413,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999186.931,241430,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999190.989,245450,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999194.987,249468,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999198.984,253486,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999202.992,257503,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999207.010,261518,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999211.061,265536,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999215.054,269555,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999219.066,273575,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999223.084,277592,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999227.140,281609,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999231.135,285626,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999235.142,289642,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
1776999239.154,293660,1,7,STAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0401FFC0
