rx_wall_time,timestamp_ms,priority,src,src_name,dst,dst_name,cls,cls_name,opcode,opcode_name,p2,p3,p4,p5,p6,p7,can_id_hex
1776885266.610,21007,1,1,CDH,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04007FC0
1776885266.610,21108,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,168,1,41,13,0,0,0x08007FC4
1776885267.532,22111,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,1,2,234,12,0,0,0x08007FC4
1776885268.534,23116,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,30,2,145,13,0,0,0x08007FC4
1776885269.500,24119,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,228,1,229,14,0,0,0x08007FC4
1776885270.395,25023,1,1,CDH,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04007FC0
1776885270.507,25124,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,136,1,110,16,0,0,0x08007FC4
1776885271.501,26128,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,96,1,163,17,0,0,0x08007FC4
1776885272.533,27132,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,143,1,25,18,0,0,0x08007FC4
1776885273.575,28135,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,235,1,165,17,0,0,0x08007FC4
1776885274.417,29039,1,1,CDH,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04007FC0
1776885274.512,29140,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,31,2,114,16,0,0,0x08007FC4
1776885275.525,30144,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,251,1,233,14,0,0,0x08007FC4
1776885276.540,31149,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,160,1,148,13,0,0,0x08007FC4
1776885277.549,32153,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,98,1,234,12,0,0,0x08007FC4
1776885278.462,33057,1,1,CDH,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04007FC0
1776885278.574,33158,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,122,1,39,13,0,0,0x08007FC4
1776885279.535,34161,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,209,1,54,14,0,0,0x08007FC4
1776885280.543,35166,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,25,2,182,15,0,0,0x08007FC4
1776885281.546,36169,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,14,2,36,17,0,0,0x08007FC4
1776885282.458,37073,1,1,CDH,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04007FC0
1776885282.557,37174,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,187,1,254,17,0,0,0x08007FC4
1776885283.583,38177,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,108,1,248,17,0,0,0x08007FC4
1776885284.564,39182,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,106,1,21,17,0,0,0x08007FC4
1776885285.563,40185,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,182,1,164,15,0,0,0x08007FC4
1776885286.472,41089,1,1,CDH,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04007FC0
1776885286.566,41190,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,11,2,38,14,0,0,0x08007FC4
1776885287.578,42193,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,26,2,31,13,0,0,0x08007FC4
1776885288.606,43197,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,214,1,237,12,0,0,0x08007FC4
1776885289.581,44200,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,125,1,161,13,0,0,0x08007FC4
1776885290.473,45104,1,1,CDH,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04007FC0
1776885290.585,45205,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,97,1,251,14,0,0,0x08007FC4
1776885291.582,46209,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,156,1,131,16,0,0,0x08007FC4
1776885292.601,47214,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,247,1,176,17,0,0,0x08007FC4
1776885293.624,48217,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,31,2,24,18,0,0,0x08007FC4
1776885294.492,49121,1,1,CDH,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04007FC0
1776885294.605,49222,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,239,1,153,17,0,0,0x08007FC4
1776885295.608,50225,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,147,1,93,16,0,0,0x08007FC4
1776885296.617,51230,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,96,1,211,14,0,0,0x08007FC4
1776885297.613,52234,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,133,1,133,13,0,0,0x08007FC4
1776885298.541,53137,1,1,CDH,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04007FC0
1776885298.638,53238,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,223,1,232,12,0,0,0x08007FC4
1776885299.618,54241,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,29,2,50,13,0,0,0x08007FC4
1776885300.621,55245,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,5,2,73,14,0,0,0x08007FC4
1776885301.614,56249,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,173,1,205,15,0,0,0x08007FC4
1776885302.524,57153,1,1,CDH,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04007FC0
1776885302.644,57254,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,102,1,53,17,0,0,0x08007FC4
1776885303.655,58257,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,114,1,4,18,0,0,0x08007FC4
1776885304.631,59262,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,197,1,241,17,0,0,0x08007FC4
1776885305.635,60265,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,19,2,3,17,0,0,0x08007FC4
1776885306.550,61169,1,1,CDH,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04007FC0
1776885306.650,61270,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,20,2,142,15,0,0,0x08007FC4
1776885307.654,62274,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,200,1,19,14,0,0,0x08007FC4
1776885308.677,63279,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,115,1,23,13,0,0,0x08007FC4
1776885309.696,64282,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,101,1,241,12,0,0,0x08007FC4
1776885310.568,65186,1,1,CDH,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04007FC0
1776885310.668,65287,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,170,1,176,13,0,0,0x08007FC4
1776885311.676,66291,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,2,2,17,15,0,0,0x08007FC4
1776885312.676,67295,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,30,2,151,16,0,0,0x08007FC4
1776885313.696,68298,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,226,1,187,17,0,0,0x08007FC4
1776885314.623,69202,1,1,CDH,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04007FC0
1776885314.719,69303,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,135,1,23,18,0,0,0x08007FC4
1776885315.677,70306,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,96,1,139,17,0,0,0x08007FC4
1776885316.693,71311,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,145,1,71,16,0,0,0x08007FC4
1776885317.692,72314,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,237,1,189,14,0,0,0x08007FC4
1776885318.606,73218,1,1,CDH,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04007FC0
1776885318.714,73319,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,31,2,119,13,0,0,0x08007FC4
1776885319.737,74322,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,250,1,229,12,0,0,0x08007FC4
1776885320.699,75327,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,159,1,60,13,0,0,0x08007FC4
1776885321.711,76330,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,98,1,93,14,0,0,0x08007FC4
1776885322.614,77233,1,1,CDH,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04007FC0
1776885322.730,77334,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,123,1,227,15,0,0,0x08007FC4
1776885323.725,78337,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,211,1,69,17,0,0,0x08007FC4
1776885324.756,79341,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,25,2,9,18,0,0,0x08007FC4
1776885325.725,80344,2,1,CDH,255,BROADCAST,4,TELEMETRY,1,PING,13,2,233,17,0,0,0x08007FC4
1776885326.627,81248,1,1,CDH,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04007FC0
