rx_wall_time,timestamp_ms,priority,src,src_name,dst,dst_name,cls,cls_name,opcode,opcode_name,p2,p3,p4,p5,p6,p7,can_id_hex
1776885266.895,21509,1,2,EPS,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0400BFC0
1776885267.532,22113,2,2,EPS,1,CDH,10,HEALTH,2,PONG,208,0,1,0,0,0,0x0800804A
1776885269.500,24121,2,2,EPS,1,CDH,10,HEALTH,2,PONG,239,2,1,0,0,0,0x0800804A
1776885270.908,25526,1,2,EPS,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0400BFC0
1776885271.501,26129,2,2,EPS,1,CDH,10,HEALTH,2,PONG,61,1,1,0,0,0,0x0800804A
1776885273.575,28137,2,2,EPS,1,CDH,10,HEALTH,2,PONG,79,2,1,0,0,0,0x0800804A
1776885274.925,29542,1,2,EPS,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0400BFC0
1776885275.527,30146,2,2,EPS,1,CDH,10,HEALTH,2,PONG,253,1,1,0,0,0,0x0800804A
1776885277.550,32155,2,2,EPS,1,CDH,10,HEALTH,2,PONG,134,1,1,0,0,0,0x0800804A
1776885278.930,33559,1,2,EPS,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0400BFC0
1776885279.535,34163,2,2,EPS,1,CDH,10,HEALTH,2,PONG,184,2,1,0,0,0,0x0800804A
1776885281.546,36171,2,2,EPS,1,CDH,10,HEALTH,2,PONG,238,0,1,0,0,0,0x0800804A
1776885282.979,37575,1,2,EPS,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x0400BFC0
1776885283.583,38179,2,2,EPS,1,CDH,10,HEALTH,2,PONG,27,3,1,0,0,0,0x0800804A
1776885285.563,40187,2,2,EPS,1,CDH,10,HEALTH,2,PONG,204,0,1,0,0,0,0x0800804A
