rx_wall_time,timestamp_ms,priority,src,src_name,dst,dst_name,cls,cls_name,opcode,opcode_name,p2,p3,p4,p5,p6,p7,can_id_hex
1776885269.892,24522,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885273.920,28538,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885277.963,32556,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885281.943,36572,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885285.955,40588,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885289.973,44603,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885294.036,48620,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885298.028,52636,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885302.029,56652,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885306.050,60668,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885310.071,64685,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885314.104,68701,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885318.097,72717,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885322.113,76732,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885326.125,80747,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885330.140,84761,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885334.175,88778,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885338.165,92794,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885342.193,96810,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885346.208,100826,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885350.273,104843,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885354.247,108859,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885360.904,4444,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885364.908,8459,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885368.924,12475,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885372.939,16490,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885376.979,20507,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885380.973,24523,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885398.088,4442,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885402.102,8458,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885406.109,12475,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885410.157,16491,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885414.152,20507,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885418.161,24524,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885422.182,28539,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885426.234,32555,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885430.228,36573,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885434.234,40590,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885438.248,44605,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885442.260,48621,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885446.308,52638,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885450.297,56653,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885454.312,60667,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885458.320,64682,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885462.340,68697,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885466.377,72714,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885470.373,76730,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885474.391,80746,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885478.415,84763,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885482.454,88780,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885486.444,92796,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885490.455,96813,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885494.466,100829,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885498.528,104845,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885502.520,108861,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885506.515,112877,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885510.534,116892,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885514.548,120907,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885518.606,124922,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885522.593,128938,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885526.599,132955,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885530.606,136971,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885534.629,140987,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885538.669,145004,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885542.655,149020,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885546.679,153037,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885550.700,157055,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885554.746,161073,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885558.741,165089,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885562.745,169106,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885566.762,173123,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885570.827,177140,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885574.817,181158,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885578.814,185175,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885582.833,189192,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885586.854,193209,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885590.893,197227,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885594.886,201245,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
1776885598.903,205262,1,8,SOLAR,255,BROADCAST,0,HEARTBEAT,48,HEARTBEAT,1,0,0,0,0,0,0x04023FC0
